,LinUCB,,,,"LinUCB+stdev,cluster","LinUCB+stdev,cluster+CBF"
1,1,1,,,1,1
1.09496,1.18992,0.02591,,,1.94307,1.87737
0.96635,0.70912,0.02278,,,1.38125,1.27642
0.90734,0.73033,0.02755,,,1.14851,1.36822
0.90477,0.89446,0.02771,,,1.13767,1.26732
0.88851,0.80722,0.02392,,,1.06288,1.05207
0.86817,0.74613,0.02265,,,1.05018,0.9494
0.85165,0.73602,0.02405,,,1.04635,0.88768
0.8427,0.77106,0.02424,,,0.98959,0.81021
0.83531,0.76879,0.02327,,,0.97793,0.77194
0.82582,0.73098,0.02181,,,0.96565,0.79154
0.81869,0.74025,0.02292,,,0.92199,0.75658
0.81293,0.74373,0.02306,,,0.91114,0.74664
0.80786,0.74206,0.02272,,,0.94744,0.78154
0.80421,0.753,0.02327,,,0.95986,0.81728
0.80104,0.75349,0.02341,,,0.95583,0.84496
0.79902,0.76679,0.02407,,,0.96402,0.85692
0.7982,0.78421,0.02318,,,0.97052,0.84979
0.79708,0.77691,0.02347,,,1.00094,0.85042
0.79677,0.79096,0.02351,,,1.01833,0.84885
0.79708,0.80327,0.02454,,,1.00764,0.86238
0.79799,0.81698,0.02461,,,1.00789,0.88021
0.79902,0.82172,0.02478,,,1.00951,0.88031
0.79956,0.81204,0.02401,,,0.9971,0.87239
0.79962,0.80115,0.02382,,,0.98927,0.86177
0.80005,0.81077,0.02423,,,0.99658,0.87333
0.8011,0.82842,0.02467,,,0.98855,0.86534
0.80249,0.8398,0.0246,,,1.00792,0.88389
0.80368,0.83708,0.02444,,,1.01476,0.89728
0.80499,0.84288,0.02455,,,1.01685,0.90281
0.80695,0.8659,0.02553,,,1.01304,0.90332
0.8091,0.8758,0.02589,,,1.00791,0.9201
0.81148,0.88772,0.02579,,,1.01596,0.92408
0.81356,0.88206,0.02573,,,1.02087,0.9167
0.81549,0.88119,0.02597,,,1.02208,0.92301
0.81758,0.89053,0.02599,,,1.0134,0.93088
0.81994,0.90483,0.02618,,,1.01744,0.93475
0.82239,0.91326,0.02627,,,1.03217,0.93736
0.82524,0.93337,0.02727,,,1.03326,0.94005
0.82824,0.94551,0.02717,,,1.02985,0.95409
0.83141,0.95808,0.0277,,,1.02636,0.96482
0.83453,0.96245,0.02727,,,1.02328,0.96213
0.83749,0.96167,0.02718,,,1.02684,0.96125
0.84013,0.95377,0.02704,,,1.03914,0.97254
0.84263,0.95261,0.02692,,,1.04113,0.9845
0.84513,0.95788,0.02716,,,1.03766,0.98833
0.8476,0.9611,0.02734,,,1.05087,0.99245
0.85003,0.96435,0.02742,,,1.05735,0.99425
0.85244,0.96771,0.02725,,,1.05328,0.98559
0.85466,0.96368,0.02711,,,1.05552,0.98581
0.857,0.97397,0.0274,,,1.06181,0.98192
0.8592,0.97119,0.0271,,,1.06791,0.97862
0.86126,0.96872,0.02717,,,1.06381,0.987
0.86328,0.9702,0.02731,,,1.07175,0.99258
0.86528,0.97311,0.02716,,,1.07592,0.99005
0.86722,0.97415,0.02724,,,1.07484,0.98093
0.86912,0.97521,0.02712,,,1.0782,0.98161
0.87095,0.97544,0.02712,,,1.07823,0.9789
0.87275,0.97721,0.02705,,,1.07303,0.97839
0.87449,0.97726,0.0274,,,1.07782,0.97668
0.87635,0.98798,0.0273,,,1.07741,0.97857
0.87809,0.9838,0.02699,,,1.07936,0.97523
0.8797,0.97967,0.02673,,,1.08135,0.97883
0.88121,0.97639,0.02677,,,1.08251,0.97625
0.88269,0.97725,0.02652,,,1.08113,0.97836
0.88404,0.97188,0.02638,,,1.07285,0.97907
0.88523,0.96363,0.02622,,,1.06377,0.9793
0.8864,0.96523,0.0264,,,1.05631,0.98867
0.88756,0.96638,0.02639,,,1.05968,1.00048
0.88874,0.96976,0.02657,,,1.05138,1.00704
0.89001,0.97941,0.02679,,,1.04221,1.00741
0.89128,0.98111,0.02679,,,1.03921,1.00709
0.89249,0.97957,0.02675,,,1.04248,1.00433
0.89362,0.9767,0.02649,,,1.03847,1.00378
0.89464,0.96976,0.02632,,,1.03515,1.00287
0.89558,0.9658,0.02638,,,1.03201,1.00268
0.89656,0.97125,0.0265,,,1.02894,1.01027
0.89755,0.97357,0.02655,,,1.02214,1.00752
0.8985,0.9729,0.02651,,,1.02185,1.0094
0.89947,0.97608,0.02655,,,1.02394,1.01026
0.90035,0.97079,0.0263,,,1.02258,1.01035
0.9012,0.96971,0.02624,,,1.01389,1.01058
0.902,0.96782,0.02611,,,1.01211,1.01721
0.9028,0.96903,0.02613,,,1.0147,1.02228
0.9036,0.97145,0.02635,,,1.01173,1.02358
0.90444,0.97535,0.02629,,,1.00469,1.02116
0.90527,0.97704,0.02644,,,1.0082,1.0211
0.90616,0.98342,0.02647,,,1.00869,1.02013
0.90706,0.98653,0.02662,,,1.01123,1.01993
0.90796,0.98749,0.02648,,,1.01163,1.0185
0.90879,0.98399,0.02653,,,1.00759,1.01745
0.90966,0.98848,0.02661,,,1.00558,1.02233
0.91054,0.99107,0.02675,,,1.00663,1.02484
0.91141,0.99318,0.02664,,,1.00581,1.02928
0.91223,0.98896,0.02658,,,1.00073,1.03084
0.913,0.98607,0.02654,,,0.99903,1.02998
0.91371,0.98195,0.02624,,,0.99503,1.02902
0.91437,0.97793,0.02621,,,0.99867,1.03461
0.91499,0.97637,0.02626,,,1.00323,1.03943
0.91563,0.97853,0.02634,,,1.00229,1.04164
0.91632,0.98543,0.02661,,,1.00218,1.04494
0.91705,0.99063,0.02662,,,1.01119,1.04478
0.9178,0.99434,0.02666,,,1.01119,1.04197
0.91852,0.99339,0.02668,,,1.01066,1.04718
0.9193,0.99972,0.02687,,,1.00878,1.05161
0.92007,1.0013,0.02672,,,1.00795,1.0534
0.92076,0.99374,0.02655,,,1.00721,1.05264
0.92138,0.98749,0.02646,,,1.01268,1.04879
0.92194,0.98295,0.02632,,,1.01001,1.04504
0.92248,0.9815,0.02633,,,1.00837,1.04342
0.92303,0.98285,0.02642,,,1.00472,1.04699
0.92361,0.98808,0.02653,,,1.00183,1.04759
0.9242,0.99067,0.02674,,,1.00406,1.04579
0.92481,0.99347,0.02668,,,1.00104,1.04883
0.9254,0.99255,0.02668,,,1.00134,1.0517
0.92598,0.99296,0.02663,,,0.99997,1.05386
0.92654,0.99133,0.02664,,,0.99944,1.05102
0.92709,0.99145,0.0267,,,1.00093,1.04816
0.92767,0.99572,0.02687,,,1.00322,1.05064
0.92825,0.99715,0.02699,,,1.00082,1.05064
0.92886,1.00262,0.02712,,,0.99826,1.0482
0.92947,1.0029,0.02725,,,0.99518,1.05299
0.93009,1.00634,0.02722,,,0.99351,1.05212
0.93069,1.00381,0.02715,,,1.00119,1.05551
0.93125,1.00082,0.027,,,0.99942,1.06174
0.93177,0.99705,0.02708,,,0.99687,1.05988
0.9323,0.99904,0.02711,,,1.00041,1.05939
0.93283,1.00006,0.02705,,,1.00383,1.05513
0.93334,0.99823,0.02705,,,1.00306,1.0529
0.93383,0.99782,0.0271,,,1.00409,1.05926
0.93432,0.99728,0.02708,,,1.00244,1.06538
0.93482,1.00093,0.02733,,,1.00343,1.06896
0.93534,1.00393,0.0274,,,0.99639,1.06926
0.93585,1.00402,0.02737,,,0.99676,1.06251
0.93635,1.00336,0.02733,,,0.99909,1.06272
0.93684,1.00314,0.02731,,,0.99665,1.06735
0.93733,1.00311,0.02736,,,0.99294,1.07459
0.93779,1.00106,0.02736,,,0.99144,1.07417
0.93825,1.00221,0.02742,,,0.98963,1.07431
0.9387,1.00121,0.02739,,,0.98798,1.07373
0.93913,0.99922,0.02741,,,0.98503,1.07425
0.93955,0.99777,0.02729,,,0.98574,1.07541
0.93995,0.99718,0.02733,,,0.98455,1.07259
0.94036,0.99876,0.02746,,,0.9811,1.06862
0.94077,1.00061,0.02753,,,0.97837,1.06375
0.94118,1.00006,0.02771,,,0.97673,1.06742
0.94161,1.00511,0.02784,,,0.98176,1.07226
0.94206,1.00717,0.02795,,,0.98411,1.07165
0.94252,1.01077,0.02801,,,0.98333,1.07002
0.94297,1.01015,0.02801,,,0.98661,1.07222
0.94344,1.01355,0.02819,,,0.98999,1.07784
0.94391,1.01559,0.02817,,,0.98846,1.08065
0.94438,1.01572,0.02821,,,0.98948,1.0799
0.94484,1.01492,0.02815,,,0.99012,1.08255
0.94528,1.01375,0.02824,,,0.98624,1.08472
0.94573,1.01526,0.02831,,,0.98381,1.08541
0.94619,1.01841,0.02839,,,0.98443,1.08703
0.94664,1.01687,0.0284,,,0.98269,1.08929
0.94707,1.01504,0.02847,,,0.98654,1.08766
0.9475,1.01617,0.02851,,,0.99234,1.08669
0.94793,1.01582,0.02854,,,0.99192,1.08611
0.94834,1.01475,0.02864,,,0.99218,1.08474
