LinUCB,’ñˆÄŽè–@,,’ñˆÄŽè–@
1,1,1,1.01
1.66789,2.33578,0.05348,2.34578
1.59785,1.45777,0.04304,1.46777
1.51508,1.26677,0.04085,1.27677
1.45541,1.21673,0.03758,1.22673
1.40418,1.14805,0.034,1.15805
1.34951,1.02148,0.0314,1.03148
1.30361,0.98231,0.03269,0.99231
1.26901,0.99223,0.03043,1.00223
1.23713,0.95013,0.02875,0.96013
1.20922,0.9302,0.0287,0.9402
1.18647,0.93613,0.02855,0.94613
1.1647,0.90358,0.02782,0.91358
1.14732,0.92136,0.02888,0.93136
1.13125,0.90616,0.02845,0.91616
1.1176,0.91296,0.02834,0.92296
1.10674,0.93286,0.02944,0.94286
1.10085,1.00085,0.03012,1.01085
1.0961,1.0105,0.02979,1.0205
1.09112,0.99648,0.03063,1.00648
1.08664,0.99713,0.0294,1.00713
1.08223,0.98957,0.03052,0.99957
1.07898,1.00738,0.02996,1.01738
1.07565,0.9991,0.02999,1.0091
1.07304,1.01054,0.02999,1.02054
1.07084,1.01572,0.02989,1.02572
1.06869,1.01289,0.0304,1.02289
1.0673,1.0296,0.03003,1.0396
1.06556,1.01692,0.02949,1.02692
1.06353,1.00466,0.02918,1.01466
1.06139,0.99728,0.02918,1.00728
1.05914,0.98943,0.02885,0.99943
1.05666,0.97731,0.02851,0.98731
1.05423,0.97404,0.02876,0.98404
1.05195,0.97419,0.02834,0.98419
1.04968,0.97028,0.0279,0.98028
1.04736,0.96394,0.02792,0.97394
1.04522,0.96603,0.02776,0.97603
1.04318,0.9658,0.02777,0.9758
1.04105,0.9579,0.0273,0.9679
1.03875,0.94667,0.02693,0.95667
1.03662,0.9493,0.02718,0.9593
1.03469,0.95378,0.02712,0.96378
1.03291,0.95612,0.02706,0.96612
1.03135,0.96293,0.02759,0.97293
1.03007,0.97241,0.02743,0.98241
1.02884,0.97216,0.02771,0.98216
1.02769,0.97368,0.02741,0.98368
1.02652,0.97025,0.02762,0.98025
1.02551,0.97631,0.0276,0.98631
1.02451,0.97438,0.02738,0.98438
1.02348,0.97081,0.02716,0.98081
1.0226,0.97706,0.02754,0.98706
1.022,0.98994,0.02798,0.99994
1.02148,0.99345,0.02791,1.00345
1.02092,0.99036,0.0275,1.00036
1.02029,0.9849,0.02745,0.9949
1.0198,0.99189,0.02765,1.00189
1.01936,0.99386,0.02761,1.00386
1.01898,0.99629,0.02754,1.00629
1.0186,0.99617,0.02751,1.00617
1.0182,0.99382,0.02719,1.00382
1.01767,0.9849,0.02697,0.9949
1.01722,0.98882,0.02707,0.99882
1.01685,0.99279,0.02709,1.00279
1.01654,0.99642,0.02725,1.00642
1.01624,0.99627,0.02726,1.00627
1.01608,1.00559,0.02759,1.01559
